"","gender","age","attitude","deep","stra","surf","points"
"1","F",5.3,3.7,3.58333333333333,3.375,2.58333333333333,2.5
"2","M",5.5,3.1,2.91666666666667,2.75,3.16666666666667,1.2
"3","F",4.9,2.5,3.5,3.625,2.25,2.4
"4","M",5.3,3.5,3.5,3.125,2.25,1
"5","M",4.9,3.7,3.66666666666667,3.625,2.83333333333333,2.2
"6","F",3.8,3.8,4.75,3.625,2.41666666666667,2.1
"7","M",5,3.5,3.83333333333333,2.25,1.91666666666667,2.1
"8","F",3.7,2.9,3.25,4,2.83333333333333,3.1
"9","M",3.7,3.8,4.33333333333333,4.25,2.16666666666667,2.4
"10","F",4.2,2.1,4,3.5,3,2.6
"11","M",3.7,3.9,3.58333333333333,3.625,2.66666666666667,3.1
"12","F",3.4,3.8,3.83333333333333,4.75,2.41666666666667,3.1
"13","F",3.4,2.4,4.25,3.625,2.25,2.3
"14","F",3.4,3,3.33333333333333,3.5,2.75,2.5
"15","M",3.5,2.6,4.16666666666667,1.75,2.33333333333333,2.1
"16","F",3.3,4.1,3.66666666666667,3.875,2.33333333333333,3.1
"17","F",3.2,2.6,4.08333333333333,1.375,2.91666666666667,2
"18","F",4.4,2.6,3.5,3.25,2.5,2.2
"19","M",2.9,1.7,4.08333333333333,3,3.75,0.9
"20","F",3,2.7,4,3.75,2.75,2.4
"21","M",2.7,3.9,3.91666666666667,2.625,2.33333333333333,2.8
"22","M",2.9,3.4,4,2.375,2.41666666666667,3
"23","F",3.1,2.7,4,3.625,3,2.4
"24","F",3.7,2.3,3.66666666666667,2.75,2.41666666666667,0.9
"25","F",2.6,3.7,3.66666666666667,1.75,2.83333333333333,2.6
"26","F",2.6,4.4,4.41666666666667,3.25,3.16666666666667,3.2
"27","M",3,4.1,3.91666666666667,4,3,3.2
"28","F",3.3,3.7,3.75,3.625,2,3.3
"29","F",3.3,2.5,3.25,2.875,3.5,2.9
"30","M",2.8,3,3.58333333333333,3,3.75,3
"31","M",2.6,3.4,4.91666666666667,1.625,2.5,1.9
"32","F",2.7,3.2,3.58333333333333,3.25,2.08333333333333,2.3
"33","F",2.5,2,2.91666666666667,3.5,2.41666666666667,1.9
